position_id,order,detail
1,1,"Evaluate the efficacy of educational technologies for high-need and rural students through randomized and quasi-experimental designs, including a school-level cluster RCT pre-registered to meet What Works Clearinghouse (WWC) standards"
1,2,"Build and maintain end-to-end data pipelines integrating multi-source administrative, survey, platform-usage, and assessment data; perform systematic cleaning, harmonization, and quality assurance across longitudinal teacher and student datasets"
1,3,"Develop instruments and lead data collection through interviews, online surveys, and site visits; conduct analyses and contribute to client reports and dissemination products"
1,4,"Gather assessment data from state education agencies and visualize data-collection progress to monitor study quality and timeline"
2,1,"Design and conduct randomized experiments on mathematics learning in technology-enhanced environments; apply structural equation modeling, item response theory, and integrative data analysis across multiple datasets"
2,2,"Founded and lead the iGRASP research team, supervising 1 graduate and 6 undergraduate research assistants in experiment administration, scientific data collection, and project coordination"
2,3,"Pioneered a remote data-collection protocol during COVID-19; present findings at national conferences and in peer-reviewed proceedings"
3,1,"Teaching assistant for EDPSYCH 301 (How People Learn); delivered instruction, feedback, and individualized support on learning theory to undergraduate students"
4,1,"Managed 50+ professional development programs (1,500+ hours) reaching over 7,000 in-service teachers; collected program feedback through surveys"
4,2,"Raised the institutional evaluation grade from B to A across the 2016--2018 review cycle"
5,1,"Developed 44 curriculum-aligned instructional plans and produced 77 video and 55 animated episodes translating mathematics content for broad public audiences"
