category,skill
Quantitative Methods,Experimental & quasi-experimental design
Quantitative Methods,Causal inference
Quantitative Methods,Structural equation modeling
Quantitative Methods,Hierarchical linear modeling
Quantitative Methods,Item response theory & measurement
Quantitative Methods,Meta-analysis & integrative data analysis
Statistical Software & Data Management,R (statistical programming)
Statistical Software & Data Management,End-to-end data pipeline construction
Statistical Software & Data Management,Data cleaning, harmonization & quality assurance
Statistical Software & Data Management,Multi-source data integration (administrative, survey, platform, assessment)
Qualitative & Mixed Methods,Interviews, focus groups & surveys
Qualitative & Mixed Methods,Observation & site visits
Qualitative & Mixed Methods,Discourse & video analysis
Qualitative & Mixed Methods,Epistemic Network Analysis (ENA); qualitative coding (MAXQDA)
Reporting & Communication,Technical & evaluation report writing
Reporting & Communication,Data visualization (charts, tables, graphics)
Reporting & Communication,Practitioner-oriented materials & professional development
Reporting & Communication,Presentation & meeting facilitation
Project Management,Field research coordination & participant recruitment
Project Management,Research team supervision & mentorship
Project Management,Multi-project prioritization under deadlines
Generative AI,Prompt engineering for research & technical tasks
Generative AI,AI-assisted literature review, visualization & statistical programming
Generative AI,Output verification, bias awareness & code review
