category,skill
Quantitative Research,Experimental & quasi-experimental design
Quantitative Research,Generalized linear modeling (logistic; Poisson)
Quantitative Research,Hierarchical linear modeling
Quantitative Research,Causal inference
Quantitative Research,Structural equation modeling
Quantitative Research,Item response theory
Quantitative Research,Principal component & factor analysis
Quantitative Research,Meta-analysis & integrative data analysis
Quantitative Research,Data wrangling & exploratory analysis
Quantitative Research,Data visualization
Qualitative Research,Interview & observation protocols
Qualitative Research,Discourse & video analysis
Qualitative Research,Epistemic Network Analysis (ENA)
Qualitative Research,Qualitative coding (MAXQDA)
Research Software,R (statistical programming & Quarto)
Research Software,Qualtrics
Research Software,MAXQDA
Research Software,ENA Web Tool
Research Leadership,Research team supervision & mentorship
Research Leadership,Undergraduate & junior graduate mentorship
Research Leadership,Project management
Generative AI,Advanced prompt engineering
Generative AI,AI-assisted data visualization & statistical programming
